subject,trial_type,trial_num,ic_analog_frame,knee_moment_L_Nmkg,hip_moment_L_Nmkg,knee_moment_R_Nmkg,hip_moment_R_Nmkg,knee_moment_avg_Nmkg,hip_moment_avg_Nmkg
sub01,CMJ,1,2892,13.75533853289096,21.21370809240353,3.2561253737571723,5.292929039576958,8.505731953324066,13.253318565990243
sub01,CMJ,2,1822,12.105938819897485,18.617536287723315,3.2604725240326227,5.80709401980921,7.683205671965053,12.212315153766262
sub01,CMJ,3,2071,12.798083655025527,18.84834212694245,3.491976501674836,6.075307557344149,8.145030078350182,12.461824842143299
sub01,DJ,1,2147,2.860641850047148,4.698306861513815,3.857082040937709,6.795422214359166,3.3588619454924284,5.74686453793649
sub01,DJ,2,1825,5.426251239167838,7.591756663303056,4.573049127245425,8.554521524006095,4.999650183206631,8.073139093654575
sub01,DJ,3,2772,9.976390113399585,15.156782957825746,2.9998585790552283,4.666111110820595,6.488124346227407,9.91144703432317
sub02,CMJ,1,2990,5.517234403198263,8.560441680306964,3.382181488029402,5.2368007039340485,4.449707945613833,6.8986211921205065
sub02,CMJ,2,3030,7.223060942136212,10.368256616500998,1.88023447953525,2.8330243821017085,4.551647710835731,6.600640499301353
sub02,CMJ,3,3100,3.353646731651166,5.181499839698581,3.023911986770006,4.817881750051686,3.188779359210586,4.999690794875134
sub02,DJ,1,3465,4.514940517704476,6.813764889619242,4.371064040761711,6.3717092049690685,4.443002279233093,6.592737047294156
sub02,DJ,2,4575,4.17687872741509,5.840117688848576,2.5597235885633776,3.7469473011989183,3.368301157989234,4.793532495023747
sub02,DJ,3,3036,3.6580149480813873,5.08376119901147,6.014331139612675,9.060950419395109,4.836173043847031,7.072355809203289
sub03,CMJ,1,2981,4.386677678963278,6.595545266204509,3.034569598092415,4.678787940539177,3.7106236385278466,5.637166603371843
sub03,CMJ,2,2858,5.251004101491991,7.799554615066631,2.6613908011304117,3.950775296060119,3.9561974513112013,5.875164955563375
sub03,CMJ,3,2671,9.75756931773585,14.035195621953951,3.71814605932536,6.048700749233271,6.737857688530605,10.041948185593611
sub03,DJ,1,2340,4.9274443217334545,7.105665053932186,4.137762154459924,6.185029862929057,4.532603238096689,6.645347458430622
sub03,DJ,2,2176,6.878647650373948,9.678447150882686,3.7273018903569715,5.579354090441935,5.30297477036546,7.628900620662311
sub03,DJ,3,3272,9.544654059062468,13.43813875035899,3.3309577559521606,4.9057966972429785,6.437805907507315,9.171967723800984
sub04,CMJ,1,3793,5.981661876287954,8.973551532129427,3.7354280918506246,5.635766109569746,4.858544984069289,7.304658820849587
sub04,CMJ,2,3915,6.1293324418318855,9.451114371615317,3.5684750883245275,4.97559259606764,4.848903765078207,7.213353483841479
sub04,CMJ,3,4007,5.7658976207459,7.84257891437063,3.801999404999083,5.59288303396155,4.783948512872492,6.7177309741660896
sub04,DJ,1,3299,6.978663372256116,10.087428132394372,5.069987620027581,8.234913139398943,6.024325496141849,9.161170635896656
sub04,DJ,2,4209,3.5297525303563777,5.5061250396509385,4.634456328437128,7.033217798783803,4.082104429396753,6.269671419217371
sub04,DJ,3,5107,5.816824309860887,8.60703053078691,3.3078636303436224,4.938396866941184,4.562343970102255,6.772713698864047
sub06,CMJ,1,3685,6.148398708344177,8.532645867867917,2.443143076968673,3.6857107312778474,4.295770892656425,6.109178299572882
sub06,CMJ,2,4320,6.993096353002364,9.806810158470363,2.111538800107829,3.3156029918206036,4.5523175765550965,6.5612065751454836
sub06,CMJ,3,4353,7.493464390701037,10.580359496866942,2.6628253515492584,3.6233437251634357,5.078144871125148,7.101851611015189
sub06,DJ,1,3533,3.126825186027909,4.51285520825297,2.690839718339686,4.0777573784877665,2.9088324521837974,4.295306293370368
sub06,DJ,2,3799,5.422044896764291,7.750725680516086,4.476936540945978,5.743612635041298,4.9494907188551345,6.747169157778693
sub06,DJ,3,4026,4.936974663506589,7.317498418119578,3.572413365367214,5.0426222482864205,4.254694014436902,6.180060333202999
sub07,CMJ,1,3477,8.801053990209276,12.766356522702592,4.160650898721618,5.640684959307605,6.480852444465447,9.203520741005098
sub07,CMJ,2,3365,9.420465486141714,14.294155916277123,4.108398969318671,5.764710655632239,6.764432227730192,10.029433285954681
sub07,CMJ,3,3324,10.12370381124723,15.564706827311992,3.9729825981205136,5.459716081588283,7.048343204683872,10.512211454450139
sub07,DJ,1,4217,4.693194237664724,7.898910978107347,8.447522388833349,12.572399833691968,6.570358313249036,10.235655405899657
sub07,DJ,2,2771,3.8296852504502676,5.923145984219883,7.58095951805374,11.540430368115219,5.705322384252004,8.731788176167552
sub07,DJ,3,3559,4.213916857745194,6.015691862178699,7.673975550570886,11.281239627493344,5.94394620415804,8.64846574483602
sub08,CMJ,1,2505,1.2744380388506291,2.178443670347404,4.183783112506252,6.009969361859374,2.729110575678441,4.094206516103389
sub08,CMJ,2,3015,3.929959351879224,6.3326412176949205,3.074144271066584,3.9613670287897653,3.502051811472904,5.147004123242343
sub08,CMJ,3,3162,4.476949090043794,7.298655783543362,3.4834877405321056,4.324445128810368,3.9802184152879496,5.811550456176865
sub08,DJ,1,3134,5.431413304858722,8.153090144396794,3.588187142209183,4.817178904863537,4.5098002235339525,6.4851345246301655
sub08,DJ,2,2191,6.886944120959861,9.938077467336637,4.002472382846009,6.0950391578279515,5.444708251902935,8.016558312582294
sub08,DJ,3,2917,4.385426189087467,6.372908146292077,3.280822433994016,4.391380743030359,3.8331243115407414,5.382144444661218
sub09,CMJ,1,3138,2.7675935384218895,4.056390729296238,3.0919463153221756,3.750101134035907,2.9297699268720327,3.9032459316660724
sub09,CMJ,2,2509,2.676132737498565,3.21442208508453,2.2764850234033416,3.0253742601463554,2.4763088804509534,3.119898172615443
sub09,CMJ,3,2469,7.587064710454586,10.509193771823737,3.7078033911568173,4.65066293452572,5.6474340508057015,7.579928353174729
sub09,DJ,1,4150,7.166647327143787,10.056683090238849,3.140220433789783,4.559158036766736,5.153433880466785,7.307920563502792
sub09,DJ,2,2500,6.35584441557713,8.709827532709477,5.0448567748249875,7.645239112971195,5.7003505952010585,8.177533322840336
sub09,DJ,3,2575,7.855941110631003,10.683535240028368,5.0264317340628395,7.497385532396476,6.441186422346921,9.090460386212422
sub10,CMJ,1,4046,13.864478134407591,18.063017330686122,3.4194494581246277,4.748115566520483,8.64196379626611,11.405566448603302
sub10,CMJ,2,4526,4.802491181034202,6.56534019774578,4.438657992698461,5.40471195130607,4.620574586866331,5.9850260745259245
sub10,CMJ,3,4547,8.901045227776013,11.508789562812861,3.6115110146983955,4.551367725359575,6.256278121237204,8.030078644086219
sub10,DJ,1,3528,12.957805380216927,17.543221646174107,4.230247033647094,5.762246362434269,8.59402620693201,11.652734004304188
sub10,DJ,2,3291,15.026998476919196,19.805568844075623,4.368946076930744,5.768848311971585,9.69797227692497,12.787208578023604
sub10,DJ,3,2608,5.424181895403401,6.304901071560008,4.059875951739557,5.740237528389394,4.742028923571479,6.022569299974701
sub14,CMJ,1,2445,8.638228692827745,12.300359826309153,3.2006199058424305,4.6016550919233055,5.919424299335088,8.45100745911623
sub14,CMJ,2,2313,1.4364326242122565,2.2990985408602413,3.1402595872564407,4.133535724694905,2.2883461057343486,3.216317132777573
sub14,CMJ,3,2411,2.0499476728175416,3.018148656796042,4.543879534615139,5.284438042634628,3.2969136037163405,4.151293349715335
sub14,DJ,1,3268,8.445700135467257,12.27921081122484,2.8420415890797606,4.22320451594122,5.643870862273509,8.25120766358303
sub14,DJ,2,3826,7.384670732217951,10.67964502120325,3.2755420641155992,4.760566605798304,5.330106398166775,7.720105813500776
sub14,DJ,3,3549,9.056650157150699,13.11128270644686,3.5727635016976875,5.195618977929439,6.3147068294241935,9.15345084218815
sub15,CMJ,1,3124,8.451757951713606,12.89517748954515,3.570483685467911,5.8724820756457685,6.011120818590759,9.383829782595459
sub15,CMJ,2,2757,4.678360955906614,7.073091208713095,3.08929810397703,4.879152824867949,3.883829529941822,5.976122016790522
sub15,CMJ,3,2643,6.843430616317267,9.179061047358545,3.0540615122987442,5.014208908024709,4.948746064308006,7.096634977691627
sub15,DJ,1,3216,9.36007321747569,14.347668567712237,1.975094980521581,3.5678892981063908,5.667584098998636,8.957778932909314
sub15,DJ,2,3683,6.476511760952107,11.04011511338454,2.5639062500787273,4.2378710435405775,4.520209005515417,7.638993078462558
sub15,DJ,3,2048,4.0729559516745555,6.672695183527056,5.3818787765228,8.869450156527014,4.727417364098677,7.771072670027035
sub16,CMJ,1,2956,6.512312840744006,8.714535479898034,4.141486785770761,4.828268126960888,5.326899813257383,6.771401803429461
sub16,CMJ,2,2828,8.673785284142483,12.628146764553442,4.772720325056048,6.470905223527691,6.723252804599266,9.549525994040566
sub16,CMJ,3,3032,15.33323647054348,21.157934586156856,3.0058285076156404,4.273083866588556,9.16953248907956,12.715509226372706
sub16,DJ,1,3817,7.843180924171681,10.627613122722886,3.263753980719459,4.572652399600445,5.55346745244557,7.600132761161666
sub16,DJ,2,3325,11.551378201045335,15.056482626027467,3.5951571055608076,4.974507682886125,7.573267653303072,10.015495154456797
sub16,DJ,3,3513,3.9930174018305444,6.314695744271242,5.590652334346676,7.690915544055874,4.7918348680886105,7.002805644163558
sub17,CMJ,1,2163,6.0154741740704125,9.033166249137102,2.831048436637418,4.192462290314355,4.423261305353915,6.612814269725728
sub17,CMJ,2,2626,1.998696692622762,3.4918063369642067,3.918048296409951,4.974977349420528,2.9583724945163565,4.233391843192368
sub17,CMJ,3,2461,2.9921943827270208,4.280542446648092,5.383432636296714,6.553251380279658,4.187813509511868,5.416896913463875
sub17,DJ,1,2708,6.338027648682949,9.831320850437079,3.197516474567391,4.151393430744834,4.76777206162517,6.9913571405909565
sub17,DJ,2,2170,6.002340695802945,9.354523914334662,4.891451519396245,7.339287823867864,5.446896107599596,8.346905869101263
sub17,DJ,3,2283,1.8924418543122723,3.2055556434083323,4.537729876604181,6.391311433477409,3.2150858654582266,4.79843353844287
sub19,CMJ,1,3099,8.328034476684238,13.354983580896137,3.659435146932541,5.574493867762583,5.993734811808389,9.46473872432936
sub19,CMJ,2,4417,11.743672322919204,17.817733314992882,2.6442003738853304,4.365697669651376,7.193936348402268,11.091715492322129
sub19,CMJ,3,3564,9.032070663356663,13.63901512092367,2.4509485358287026,3.783082894722764,5.741509599592683,8.711049007823217
sub19,DJ,1,2376,7.393172679225129,12.356582867630587,4.066611124828218,6.580402796259582,5.729891902026674,9.468492831945085
sub19,DJ,2,3478,8.056914368341108,13.109490512981946,3.5976552600420066,5.094102404494531,5.827284814191557,9.101796458738239
sub19,DJ,3,3233,9.042072775944867,13.726500738825052,3.13280268626977,4.5925797317141,6.087437731107318,9.159540235269576
sub21,CMJ,1,3014,3.39663970162154,4.364584368569584,5.461662279662495,5.655451561383167,4.429150990642018,5.010017964976376
sub21,CMJ,2,6442,5.687678145332286,7.506988107459746,4.154342929933639,4.683173126580267,4.921010537632963,6.095080617020006
sub21,CMJ,3,3459,8.276616382435185,10.300221496756388,3.931638416923445,5.322972879317612,6.104127399679315,7.811597188037
sub21,DJ,1,2984,10.028601745883533,15.669305643459793,4.493959053729705,5.863283334793257,7.261280399806619,10.766294489126526
sub21,DJ,2,3087,8.996185992921049,12.343989974903476,3.7370723689840357,4.844201170436172,6.366629180952542,8.594095572669824
sub21,DJ,3,2221,15.319570075937305,19.46794417897597,4.743275673206971,7.094927271673203,10.031422874572138,13.281435725324586
sub22,CMJ,1,2685,4.668617855409155,6.668142010642329,2.8546298655947093,3.495676602977346,3.761623860501932,5.0819093068098375
sub22,CMJ,2,2651,3.1301917461533844,5.054827408794159,2.804488180081192,3.930176135658242,2.967339963117288,4.4925017722262
sub22,CMJ,3,2329,7.181976383841652,10.85847617814267,2.529303781663735,4.335068258187175,4.855640082752694,7.596772218164922
sub22,DJ,1,1855,4.3371443738711735,6.284962968898004,4.405744889862631,6.627870669508906,4.371444631866902,6.456416819203454
sub22,DJ,2,2714,10.924961952383597,15.267183192403628,1.7278227472045615,3.05854220295836,6.326392349794079,9.162862697680994
sub22,DJ,3,2132,2.860005428454417,4.3960454954748345,4.827062805749395,7.110914407812049,3.843534117101906,5.753479951643442
sub23,CMJ,1,2157,2.488520939616142,3.7428921391210204,3.2007038858469063,4.876358551925948,2.844612412731524,4.309625345523484
sub23,CMJ,2,1704,4.5594974156515,6.443407787189172,3.7077110274849785,5.651795878153591,4.133604221568239,6.047601832671381
sub23,CMJ,3,1865,5.48716779310798,8.090988802668573,3.927881988152839,5.776537672795057,4.70752489063041,6.9337632377318155
sub23,DJ,1,1682,3.8978273101309173,5.600979863034996,3.827516256841415,5.9688755573030905,3.8626717834861664,5.784927710169043
sub23,DJ,2,1647,6.30653585982788,8.465983369894495,3.873947552269058,6.222313962394431,5.090241706048469,7.344148666144463
sub23,DJ,3,1720,7.826615923998075,10.66509196814281,4.389450059561939,7.040866355744411,6.108032991780007,8.852979161943612
sub24,CMJ,1,3621,13.089626470787112,18.840025125943882,4.047504932317321,5.92149970706973,8.568565701552217,12.380762416506805
sub24,CMJ,2,3506,16.230246122708692,21.80990816562086,3.5260514163750294,5.351799181575668,9.87814876954186,13.580853673598265
sub24,CMJ,3,3888,7.62903785055268,12.537339946518863,5.511757766964797,6.445836934923848,6.570397808758738,9.491588440721355
sub24,DJ,1,258,8.711683945592052,11.751652850277333,4.454292261208433,6.893550753222826,6.582988103400242,9.322601801750078
sub24,DJ,2,1707,4.703172350416993,7.8775323942480036,12.362250815041373,13.911138057897025,8.532711582729183,10.894335226072513
sub24,DJ,3,2532,9.030755895050369,9.843730765986809,2.327275413813995,3.507200016145048,5.679015654432182,6.675465391065929
sub26,CMJ,1,3561,17.435875207432655,21.32806761747437,6.773011601179535,9.088480598569278,12.104443404306096,15.208274108021826
sub26,CMJ,2,2271,12.320274165709069,14.869236384172675,7.442732679973911,9.77813538024914,9.88150342284149,12.323685882210906
sub26,CMJ,3,2490,12.320515377796305,15.103796539363426,6.12035288117078,8.079772021632522,9.220434129483543,11.591784280497974
sub26,DJ,1,2745,13.327078492312003,14.985139210729809,4.529215090559926,6.02924620357235,8.928146791435964,10.507192707151079
sub26,DJ,2,2831,9.98150692722806,11.646753508469459,5.263149774785493,6.8145030791131,7.622328351006776,9.23062829379128
sub26,DJ,3,1331,5.3593603634118345,5.110894988064672,5.8722159591104,7.931514270688935,5.615788161261117,6.521204629376804
sub28,CMJ,1,3814,16.491696709468865,21.196162370937486,2.3685101804367537,3.8921881581480053,9.43010344495281,12.544175264542746
sub28,CMJ,2,3712,10.735958288090687,14.710359910041289,9.760299436683047,10.316983712450211,10.248128862386867,12.51367181124575
sub28,CMJ,3,3403,10.880580600976236,17.04103088628806,7.2611131783495635,7.040990697967163,9.0708468896629,12.041010792127611
sub28,DJ,1,3648,3.854754171971843,5.827201042493997,7.130392807506259,10.290456876597522,5.492573489739051,8.05882895954576
sub28,DJ,2,3979,13.562937644385352,18.432154065668307,5.576538542213967,7.954590015889238,9.569738093299659,13.193372040778772
sub28,DJ,3,3112,8.269663322581756,9.8481460318204,6.137857742857626,8.845832546857855,7.203760532719691,9.346989289339128
sub30,CMJ,1,2340,2.506400481871868,3.4953497150988944,3.517366143903691,4.263140982396412,3.0118833128877798,3.879245348747653
sub30,CMJ,2,2245,5.663190482577477,7.8837664115968895,2.8914942001853308,3.6362036975802283,4.277342341381404,5.759985054588559
sub30,CMJ,3,2600,3.7375970605565727,5.590871463116235,3.390192225685335,4.071589341696621,3.563894643120954,4.831230402406428
sub30,DJ,1,2274,11.113441227197486,14.005799405314244,3.636764454934549,5.224311361260876,7.375102841066017,9.61505538328756
sub30,DJ,2,460,3.886172271918151,5.286206790307788,3.7441938122949083,5.544298989445851,3.8151830421065296,5.41525288987682
sub30,DJ,3,2530,4.77823052347786,6.4249156258985805,3.024148893436256,3.8460561246375504,3.901189708457058,5.135485875268065
sub34,CMJ,1,1364,13.124472333413419,16.663800040521792,2.8690485236876677,4.588251411972588,7.996760428550543,10.62602572624719
sub34,CMJ,2,2806,2.9986879883144195,4.218868721790152,5.691418030219501,8.467856067548443,4.345053009266961,6.343362394669297
sub34,CMJ,3,2275,9.938109119138305,13.329476360485547,4.90147612051094,7.568853843831155,7.419792619824623,10.44916510215835
sub34,DJ,1,2238,7.151152214384148,8.881231611804367,3.3741343882690034,5.386087553343275,5.262643301326576,7.133659582573821
sub34,DJ,2,3324,9.071287503542747,11.667081045177815,2.890280062502736,4.543547155290084,5.9807837830227415,8.105314100233949
sub34,DJ,3,3544,11.890974038636477,15.348871001782104,3.6279820411030936,5.305118954944219,7.759478039869785,10.326994978363162
